what make you feel joyful || Ground truth: joy
in ne of a chang restles || Ground truth: sadness
user user cmbyn doe screen august &amp at miff || Ground truth: sadness
pressur 😦 || Ground truth: sadness
user shock los of talent young man prayer pray for hi fami || Ground truth: sadness
m i mis your personality will it com back him i'm sorry i'm m you b you sad depress longdistancerelationship || Ground truth: sadness
user user american do not spank their children and they ar a god fear peopl who know th biggest sin i hypocrisy || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
th solar eclips wa real cool inspir || Ground truth: joy
user no racism no hatr no sectarianism on ye to lov || Ground truth: optimism
yukwon no video do zico th world i shak || Ground truth: sadness
but i hav offend so many peopl with th idea that conflict and valu judgment ar separat that w ne to hav a talk || Ground truth: optimism
user happy birthday machaaaa 🎈 🎉 🎊 stay awesom and murah rezeki selalu 👍 🏻 || Ground truth: joy
ik to pmln darl i will haunt you in your nightmare dress lik a dream best th ever gameovernawaz || Ground truth: joy
hello phy i'm stress over u ayuku na ¿ ☹ || Ground truth: sadness
user huhu kak help m through all of thi || Ground truth: sadness
let' start all over again feel lover happi loyalty truth || Ground truth: joy
for every on concept i try to cram into my brain i feel lik i'm push out thre panic || Ground truth: sadness
th optimist proclaim that w liv in th best of all possibl world and th pessimist fear thi i tru ” jame branch cabell || Ground truth: optimism
user i th man || Ground truth: joy
user improv on th makeup dear to avoid reduction in viewership || Ground truth: sadness
user couldn't hav deliver without you user inspir partnership women || Ground truth: optimism
omg they said kyungsoo look gloomy and hi instant smil after that i'm melt || Ground truth: joy
lov to se them interact 😸 🙏 itsbeensolong laugh || Ground truth: joy
user i don't know my mouth wa burn th whol tim || Ground truth: sadness
happy birthday day trip great day super nic weather blu sky good mood fun lov ic cream lycklig födelsedag öland || Ground truth: joy
user 😂 h look lik a sea we version of cousin it from adam fami and wa reaaaal tall || Ground truth: joy
mima tremendou at bring th nois || Ground truth: joy
user lol nah u subscrib r pm n pay r each day thu anada r pm lol stream n us d app us ur data smile || Ground truth: joy
damn twitter mak everybody mad it' hilariou 😂 || Ground truth: joy
🔝 lov instagood photooftheday user photoeveryday cut pictur beautiful followm happy follow fashion pic picoftheday || Ground truth: joy
