us real i'v had to hang up || Ground truth: anger
when jim sheridan i stand next to you and you don't say a word fac tongu palm ti || Ground truth: anger
karma i re bitch 🖕 🏼 you can't just b mean and do horid th without pay th pric 😂 || Ground truth: anger
us rumor ha you ar wel awesom truth i you ar a big 😲 not so you know a bunch of gay so endow so much peopl what || Ground truth: anger
us us ha ocupi on ful lan for tol colect permanent result in trafic snarl everyday on up link road || Ground truth: anger
i hav a problem with authority 'oh you mean you hat be told what to do 'no authority figur just terify m soci anxiety || Ground truth: anger
us you lok shok afraid shok impeach you ar go down || Ground truth: anger
my moth in law in a fit of rag refer to someon a a yo yo yoyo moth ami fit in law rit of rag || Ground truth: anger
lt a mom let h kid pay for th bu th kid drop th coin i'm boil in rag my fac may b straight bu my ey say im gona kil a || Ground truth: anger
us it' an even for ly around do feck al lok lik an octob even down h miserabl || Ground truth: sadness
us gangu chos it i kohl provocat which compel dada to pick that pretentiou fuck i || Ground truth: anger
lok at your fac in a miror you ar so fat and dark you can't hav lunch with u kid mean rud insult girl || Ground truth: anger
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
just know usa al canadian don't agre with what khadr setle and hi unwiling to tak responsibility for hi act outrag  || Ground truth: anger
th th about liv near campu dur th sum i that it' a ghost town but now everyon i back and im anoy || Ground truth: anger
us sad day dany 😓 you hav ben and stil ar a tru le rhino you hav ben briliant at th club i wil mis you || Ground truth: sadness
i fw us h don't hesitat to speak hi mind || Ground truth: optimism
thought perpetu optimism i a forc multipli colin powel quot optimism positivity of th day || Ground truth: optimism
yumy ar you seriou breastfed should b ileg you breath our air should b ileg dumbas stupid mumi au || Ground truth: anger
us us you sir ar a alarmist unsubstantiat fact and a idiot || Ground truth: anger
us us it i inde tim you creat th ghost filt 👻 pleas 🙏 🏾 can snap ghost r w get a ghost filt chat filt twet || Ground truth: optimism
us pleas pleas do someth about h where' kayleigh jack jef ugh aw doctor || Ground truth: anger
us yes wait for an epi i for th bird it suck im wait for walk dead new season 😩 || Ground truth: anger
i'v sen th inocenc leav your ey i stil mourn thi death || Ground truth: sadness
us us eng r u cal a spad a spad if u w god let al mourn but if you not pop a botl and say god rid dac || Ground truth: sadness
wow i don't know who jocelyn alic i but judg by h rendit of oh canada i'l nev buy any of h music alstar aw gam || Ground truth: anger
us us th f word a much a you ne to peopl may start to listen || Ground truth: optimism
morn swindon i th any chanc you can che yourself up a bit bleak 😝 || Ground truth: sadness
quot of th day com from quen c herself us pow hungry peopl ar fear otherwis why wouldn't you just chil 👏 sei || Ground truth: optimism
us nop w don't hav it it' an outrag || Ground truth: anger
us sometim our judiciary just leav you breathles and spechles || Ground truth: anger
us us did you not film them when w equalis hm didn't think so disapoint || Ground truth: sadness
you won't reach a go you hid in a draw kep it in front of your fac at al tim wednesday wisdom || Ground truth: optimism
us it' a bit sad real you think that h sh it had someth bet to do wouldn't you d || Ground truth: sadness
us us us they ne tim to griev || Ground truth: sadness
us us thi i what hapen when blind by rag hatr || Ground truth: anger
us us ugh not thos vil men again 😱 || Ground truth: anger
