@user Welcome to MPSVT We are delighted to have you grateful MPSVT relationships || Ground truth: joy
@user how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues Optimize ur shit soon || Ground truth: anger
People who say nmu are the worst something has to be going on tell me I wanna know bout your life that's why I fucking asked I care 😤 || Ground truth: anger
I cannot see a rational way of bearing a grudge to him for that I do not Maybe because I do not live by Netflix and I do not care || Ground truth: anger
I love swimming for the same reason I love meditating the feeling of weightlessness || Ground truth: joy
sleep is and will always be one of the best remedies for a tired and weary soul || Ground truth: optimism
The optimist proclaims that we live in the best of all possible worlds and the pessimist fears this is true ” ~ James Branch Cabell || Ground truth: optimism
Overheard I don't really like dogs I DON'T FEEL SAFE IN THIS PLACE Clearly a hostile environment bigly covfefe TrustNoOne || Ground truth: anger
Gorkas is angrily unhinged &amp lecturing CNN on what they should cover demanding they go after Hillary Clinton instead of Trump || Ground truth: anger
@user @user a serious character flaw Nowhere close to @user || Ground truth: anger
Let us not become weary in doing good for at the proper time we will reap a harvest if we do not give up ” Galatians 6 9 NIV || Ground truth: optimism
A woman is sterilised because she is certain that she doesn't want children What exactly is there to discuss 😠 LooseWomen || Ground truth: anger
I think Saudis are responsible for most of the islamic terror in the world Both with their Wahhabism and by financing terrorists … || Ground truth: anger
@user @user if I catch you making tea with water boiled up to 100 degrees there will be dire consequences || Ground truth: anger
Remain attached to God during your happiness and during your sadness || Ground truth: optimism
Just added a copy of CANDIDE to my local Little Free Library &amp a guy grabbed it literally 5 seconds later optimism BestOfAllPossibleWorlds || Ground truth: optimism
I feel so intimidated talking to chicken now that I know how pretty she is || Ground truth: joy
My mother-in-law in a fit of rage referred to someone as a yo-yo yoyo motherinlaw amirite fitofrage || Ground truth: anger
i haven't had to speak maltese in over two years and now have relatives calling me about the trip and it's terrible 🙃 || Ground truth: anger
We're in the bathroom and you perch on the sink I begin to infatuate exasperate resuscitate || Ground truth: anger
Scared to leave the routine but excited to break out the mould 😖 scared confused happy undecided excited || Ground truth: joy
@user Why do you send me a sales email suggesting that I am procrastinating asking out Derek from accounts I am male || Ground truth: anger
I'm so sick of that I'm done w My ex na we're never getting back together crap so You can get back together in like a month 😂 || Ground truth: anger
faint glimpse of the circling stars Presently as I went on still gaining velocity the palpitation of night and day merged into one || Ground truth: joy
Don't justify Terrorism as communal hatred AmarnathTerrorAttack is sheer Act of cowardice Let's unite together against terrorism Luv all || Ground truth: optimism
we will send video to proper agency state workers harass the public to fuel the ego of Scott Arniel and trial court what the bleep bully || Ground truth: anger
@user @user @user You need a new tactic post-Trump/Brexit Hurling that insult around no longer works I'm afraid || Ground truth: anger
@user @user Hope to come yay Do u have central accom list plse Lone gal trying to avoid taxis 😉 🏰 History joy || Ground truth: joy
Prepare to suffer the sting of Ghost Rider's power Prepare to know the true meaning of hell || Ground truth: anger
To be really knowledgeable and really petty is such a delight to behold || Ground truth: joy
@user after you said an apple pie isn't naughty I really want Chris or @user to say but a cream pie is naughymind rage || Ground truth: anger
Sometimes in life See the statement itself sounds so temporary Nothing is permanent isn't it So never worry let it go &amp moveon || Ground truth: optimism
@user i cant wait for the day you release the album so that i can finally unleash my fury i hate this long ass hiatus ok afshdkflckakdbwi || Ground truth: anger
@user yessss waiting for an epi is for the birds it sucks im waiting for walking dead new season 😩 || Ground truth: anger
@user @user My shirt did not arrive today as promised I even pre-ordered it in June who do I make my complaint to || Ground truth: anger
@user Looking at babies just makes me cross my legs and wince 😂 || Ground truth: joy
Wow I don't know who Jocelyn Alice is but judging by her rendition of Oh Canada I'll never buy any of her music AllStarGame awful || Ground truth: anger
3 There is already a lot of resentment against the coal miner and union crowd among the liberals They are seen as racist and as having || Ground truth: anger
@user It used to scare me too But it's better this way || Ground truth: optimism
Jordan is helping Arya hunt a moth lifting her up to get it on the walls it's super adorable kitten boyfriend adorable hunting || Ground truth: joy
@user Bullies rudeness and littering all make me mad || Ground truth: anger
I'm blessed with a wonderful older sister I'm so happy || Ground truth: joy
The number of ppl who took it the wrong way is not that alarming but srsly why do u think lyt dat man oy 😊 || Ground truth: joy
@user One of the twins was sleeping next to me I tried to cover my laughter but I shook so hard she woke up || Ground truth: joy
Well played radio station Playing the song Total Eclipse of the Heart at the start of the eclipse Eclipse brilliant || Ground truth: joy
You won't reach a goal you hide in a drawer Keep it in front of your face at all times WednesdayWisdom || Ground truth: optimism
﻿ Mummy came home and ordered pizza even though there's food in the fridge I ain't fighting the hypocrisy this time jalepenos pine chicken || Ground truth: joy
@user U make my heart flutter || Ground truth: joy
@user TuesdayThoughts horror damn it's tough to chose But I will go to camp crystal lake but not as counselors 😁 || Ground truth: joy
Too many of us are not living our dreams because we are living our fears || Ground truth: optimism
10/10 do not recommend burning your scalp in the sun my parting is glowing red and it burns 😂 where’s a cap when you need one || Ground truth: anger
@user growl like a dog see if she lifts herself off and gives you space || Ground truth: anger
@user I remember when Ron Reagan said tear down that wall Trump is so afraid of others he obviously doesn't feel safe || Ground truth: anger
@user @user No empathetic and realistic I know when enough is enough unlike the rabid GOSH bashing mob || Ground truth: anger
@user I'm enjoying this so much 😂 they're hilarious I've a headache from laughing I need to stop now || Ground truth: joy
@user Man u r just bitter about Manu making great strides || Ground truth: anger
Nice one EE so much for data protection not impressed that you can talk to someone the opposite sex who guessed my password || Ground truth: anger
@user all of this If the GOP continues to back this mob connected man you will have tremendous regret in 2018 the voters will make sure || Ground truth: anger
Important read on the difference between pleasure and happiness and the relationship between digitaltechnology addiction &amp depression || Ground truth: joy
kokobop is such a weird name but I remember that it is said to be more lit that growl and it is EXO so I'm accepting the name || Ground truth: optimism
@user And i'm serious 20-23 july singapore holiday and accompany my friend for job interview with one of my friend || Ground truth: optimism
A solitary rogue long hair now in my left ear Its retreating from my head &amp yet is relentless up my nose Hair takes the piss || Ground truth: anger
Lucky enough to not burn off ALL of my right eye lashes unlucky enough to burn them just short enough to irritate all of my OCD tendencies || Ground truth: anger
Best thing about the bossbaby film has to be the wizard alarm clock doing lotr quotes || Ground truth: joy
I don't fear the unsettling demons inside of me I let them conquer the weakest nook of my soul for that is the only provenance of my power || Ground truth: optimism
@user @user @user I think it's awesome I'm just going to need some time to marvel and reprogram my brain 😆 || Ground truth: joy
When did we invent kidfood Like oh they're a child so they can only eat chickennuggets crap learn || Ground truth: anger
I was taught there's nothing out there to fear just go out there turn dreams into reality use other people fears to your advantage || Ground truth: optimism
@user leave it kanna same thing happened after Uri too outrage and outrage until Sept 30 anyways re will be out today too || Ground truth: anger
Jay Z came out of retirement just to drop the album of the year on y'all let that sink in Have a great day y'all 🙌 🏿 || Ground truth: joy
@user Also never got me a replacement taxi so I was forced to get a new one and transport myself terrible twohourwait nohelp contd || Ground truth: anger
@user A review of my book faulted me for spending so much time on Webster's introductory front matter But I had to brilliant || Ground truth: joy
There is much in the world to make us afraid There is much more in our faith to make us unafraid || Ground truth: optimism
Unrelated when I see the words crème fraîche I think of that South Park episode of Randy's obsession with the Food Network 😃 || Ground truth: joy
Remember when you were a kid and you flipped up the bottom of your shirt to make a pouch and put snacks in there times snacks || Ground truth: joy
May God grant us the ability to see His unfailing love fill the earth 🌏 Psalm33 5 awe || Ground truth: optimism
Everytime I see Kirks face I get angry LHHReunion || Ground truth: anger
those who think poly is a stage whr u can relax abit u're wrong u're gonna b haunt by projects and tutorials which is like tonnes ergh || Ground truth: anger
what does one do with all the bitterness + anger of lack of job security esp when one has no obvious manoeuvres to remedy the situation || Ground truth: anger
ColorFabb Ngen Worst filament for me Good finish but so fragile cc @user || Ground truth: anger
- She was so artistic painting smiles on every face but her own ■| || Ground truth: joy
Baywatch movie is so friggin awesome funny delightful || Ground truth: joy
