us us cm do scren august &amp at mif by n || Ground truth: sadness
us shock los of talent young man pray pray for hi fami || Ground truth: sadness
us us american do not spank their children and they ar a god fear peopl who know th bigest sin i hypocrisy || Ground truth: optimism
favorit charact who' nam start with th let m prison th grey break anatomy || Ground truth: joy
us no racism no hatr no sectarianism on y to lov || Ground truth: optimism
but i hav ofend so many peopl with th idea that conflict and valu judg ar separat that w ne to hav a talk || Ground truth: optimism
helo phy i'm stres ov u ayu na ¿ ☹ ku || Ground truth: sadness
us huhu kak help m through al of thi || Ground truth: sadness
us i th man || Ground truth: joy
us improv on th mak dear to avoid reduct in viewership up || Ground truth: sadness
us couldn't hav deliver without you us inspir partnership women || Ground truth: optimism
us i don't know my mouth wa burn th whol tim || Ground truth: sadness
of cours i'v got a horibl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
th patient w increasing protect dur heart atack chain hav encourag smok ang and hundr of new hospit || Ground truth: joy
they say ur a prd of ur suround a bit intimidat by th crazy amaz pl i met us us us us ct || Ground truth: joy
us it' an even for ly around do feck al lok lik an octob even down h miserabl || Ground truth: sadness
us im sory i vot jean &lt u lok bang who tf ne fod anyway when ur a student existenti dread fe u || Ground truth: joy
us us y it i i especial lov th rambl chat lov when they go of topic for lik ten minut awesome || Ground truth: joy
us let that sink in || Ground truth: sadness
chiropractor tim crackl pop chiropractor || Ground truth: joy
us us us watch th tot on ur chanel right now amaz what' hapen in th usa solar eclips || Ground truth: joy
us you mad m laugh today when you told a cal to turn up th volum that you weren't do th marvin th levity gay || Ground truth: joy
my nam i sara im year old and i cant believ boil an on i mak m cry || Ground truth: sadness
aj end up be a teribl charact but no on in hi fami ev actual speak to him h witnes so much and just get sent away || Ground truth: sadness
us lik you said it al propaganda against israel palestinian adult and their govt ar ful of hatr so sad to se || Ground truth: sadness
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
don't justify terorism a comun hatr amarnath i she act of cowardic let' unit togeth against terorism luv al teror atack || Ground truth: optimism
us us no it wa a self of him from seven month ago lok at th top left of th snap peopl i || Ground truth: joy
lok at thi litl guy h i conect to hi magic self 😇 what do you do to kep lif magic 🌈 us magic b || Ground truth: joy
us th gop control th senat blam th dem sem sad || Ground truth: sadness
i fw us h don't hesitat to speak hi mind || Ground truth: optimism
us us oh that to 🤣 || Ground truth: joy
amarnath us us cn u plz an wt u r a of or wt st u to end terorism wn whol india i stnd wth u teror atack frd png ng || Ground truth: sadness
johny doesn't sem lik th suicid typ suspic tcm party || Ground truth: sadness
from th archiv strikeforc champ ronda rous chirp church mayhem nak rip ronda twit y mil rous y || Ground truth: sadness
my main concern ar th children and hi wif that if sh i stil stuck with him and if sh i then she' strong af jez 😟 || Ground truth: sadness
us ben th don that || Ground truth: joy
don't b afraid to ask quest he' re &amp there' alway a revelat || Ground truth: optimism
i hat thes cripl anxiety || Ground truth: sadness
us aw you mak m smil to 😉 😘 || Ground truth: joy
hold a grudg i lik alow someon to liv rent fre in your head wednesday motivation wisdom quot || Ground truth: optimism
lok up som phon pric onlin and it just saden m even mor 😧 || Ground truth: sadness
us us th f word a much a you ne to peopl may start to listen || Ground truth: optimism
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
ly at th pol with john ic cream drink degre and listen to bust ✌ 🏼 ️ blis || Ground truth: joy
morn swindon i th any chanc you can che yourself up a bit bleak 😝 || Ground truth: sadness
word can describ th she pain of th blist caus by thes new sand i am thi clos to go barefot al th way hom grim not || Ground truth: sadness
quot of th day com from quen c herself us pow hungry peopl ar fear otherwis why wouldn't you just chil 👏 sei || Ground truth: optimism
daniel kil h ex do 🍫 🍫 🍫 😛 insecur e || Ground truth: sadness
th numb of pl who tok it th wrong way i not that alarm but sr why do u think lyt dat man oy 😊 s || Ground truth: joy
us us us i confes i didn't watch last wek bad ar you go to do an episod on acesibility || Ground truth: sadness
you won't find excus if you sek optimism re talk || Ground truth: optimism
don't b discourag || Ground truth: optimism
us w ne mor mutu trust to increas security &amp fight terorism &amp radicalizat in europ osc aut diplomacy || Ground truth: optimism
m how much pric for thi post of thi sexy man s clerk that' a miror sir laugh out loud || Ground truth: joy
you won't reach a go you hid in a draw kep it in front of your fac at al tim wednesday wisdom || Ground truth: optimism
atent sek chri uhlman high arous ov th atent h drew to himself now enjoy som fist of fury tim us us || Ground truth: joy
﻿ mumy cam hom and order piza even though there' fod in th fridg i a fight th hypocrisy thi tim jalepeno pin chicken int  || Ground truth: joy
us don jr lawy up with th wrong folk h a so bright  int || Ground truth: sadness
what can you say about us awestruck || Ground truth: joy
carlsbad roulad i on deliciou hearty hom styl dish stop by and let u know how you lik it get ldn chauc marienbad n dtl ont  || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yas || Ground truth: joy
us prim fre slurpe day at ' nation chicken day i got som multitask to do and squez in my dr apt 😧 day || Ground truth: joy
try not to b anoy but i kep get told i'm on list for th and then everyone' on th list except for m 😞 || Ground truth: sadness
us i'm sory for any disapoint aron it could b worth ask to mov seat if you aren't hapy to sit by th exit ^bm || Ground truth: sadness
us us don't wory narendra modi i not manmohan singh || Ground truth: optimism
damn i just walk up to th train stat and i literal di || Ground truth: sadness
each of y separat falen if w quicken hi wrath upon u wil on caus our pain to b mor unbearabl in that pit || Ground truth: sadness
us h shila 🙁 e ey a ang || Ground truth: joy
us mad your chicken tika masala w cauliflow &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
it' in th morn and i'm dry as up 😂 || Ground truth: sadness
hey us what hapen to th strawbery and black curent on 🙁 || Ground truth: sadness
w can complain becaus ros bush hav thorn or rejoic becaus thorn bush hav ros abraham lincoln optimism flow non resistanc || Ground truth: optimism
us just ran out of data… shiv || Ground truth: sadness
let u not lok back in ang or forward in fear but around in aware jam thurb || Ground truth: optimism
us lok lik city fan ar already blam th ref for a shock defeat at bournemouth amus || Ground truth: joy
chicken n stuf go in th crockpot for din din get in my bel || Ground truth: joy
merkel ha suport al israeli teror initiativ opos th palestinian bid for membership at th un || Ground truth: sadness
i had som weird dream last night first about dog whos head explod and roach com out second dark cloud and fly into spac || Ground truth: sadness
us 🤦 🏻 ‍♀ ️ w w warn and now w basical on hav th choic betwen trump penc ryan et  for potu 🤢 || Ground truth: sadness
