th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
slep i and wil alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
us us agre with us or you ar of a low inteligenc would b your mesag th then dread || Ground truth: anger
ik to pm darl i wil haunt you in your nightmar dres lik a dream best th ev gam ln ov nawaz || Ground truth: joy
i'v nev ben hapi i'm lay awak a i watch us slep thank for mak m hapy again bab || Ground truth: joy
request mri year ago neuro on request last year i'm stil wait on apoint m healthcar suck fail || Ground truth: anger
a woman i sterilis becaus sh i certain that sh doesn't want children what exact i th to discus 😠 los women || Ground truth: anger
how i drink two  and im stil somewhat sob || Ground truth: joy
remain atach to god dur your hapi and dur your sad || Ground truth: optimism
i fel so intimidat talk to chicken now that i know how prety sh i || Ground truth: joy
you know your numerou m hav kick in when you find stupid th high amus bpd kep ment problem talk mh health || Ground truth: joy
thi nightmar i near ov gang gang gang || Ground truth: optimism
we'r in th bathrom and you perch on th sink i begin to in exasperat resuscitat fat uat || Ground truth: anger
faint glimps of th circl star present a i went on stil gain velocity th palpitat of night and day merg into on || Ground truth: joy
lif i to short to hid your fel don't b afraid to say what you fel || Ground truth: optimism
slep i my drug my b i my deal my alarm i th cop schol i th jail team folow back || Ground truth: joy
so if you hav a real tiny peni get help but pleas don't try to compensat on th road big tiny road car peni rag || Ground truth: anger
sometim in lif se th state itself sound so temporary noth i permanent isn't it so nev wory let it go &amp mov on || Ground truth: optimism
us i colour my hair bright r and had a dodgy fr dread no thank bet photo god blond || Ground truth: joy
robert cal m to mak sur i wa awak for my night clas || Ground truth: joy
i final got my driv permit y ready nervou scar to driv || Ground truth: joy
us i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
i wa so scar i thought i lost anoth daught tonight grate otm ❤ || Ground truth: joy
us on of th twin wa slep next to m i tri to cov my laught but i shok so hard sh wok up || Ground truth: joy
what a raucou crowd today us gc how often do on hear aplaus and che at pd excite us us art pd || Ground truth: joy
yik got my first job interview next wek haven't had on in year || Ground truth: joy
day tom 😱 || Ground truth: joy
h i very play and can hard stay in on spot || Ground truth: joy
us u mak my heart flut || Ground truth: joy
us i rememb when ron reagan said tear down that wal trump i so afraid of oth h obvious doesn't fel saf || Ground truth: anger
real wana dy m hair a bright colour but iv spent al thi tim grow th dy out || Ground truth: optimism
us us th might b a spec of hop at th end of thi horific tunel || Ground truth: optimism
us what a teribl company not had a work dishwash now for wek await th engine i am disabl and ne thi || Ground truth: anger
no legit though thi i my first ev experienc and it' when i don't wear mak so wa prety ironic tbh gigl but no ta p up || Ground truth: joy
important read on th diferenc betwen pleasur and hapi and th relationship betwen digit adict &amp depres technology || Ground truth: joy
us mis g i'd real real apreciat a folow back i'm on of your bigest fan || Ground truth: joy
sem lik th on tim spent sob thes past few day wa when i wa slep and even then i wa wak up fad lol || Ground truth: joy
us and i'm seriou ju singapor holiday and acompany my friend for job interview with on of my friend || Ground truth: optimism
us every girl nightmar ha ha ha || Ground truth: joy
batman lik to enrag th heat on th new dimity frock and propos mariag to m pol shaw wil lay m a cbgb crazy bal || Ground truth: joy
no mat how much us light up th forest they end up get lost 😂 z s esco forest bola || Ground truth: joy
it' nation and i'm work at mcdonald' frighten french fry day || Ground truth: anger
us us i'm dismay at th uk decis to pul out of th eu and i'v urg may to rejoin european lead 😉 || Ground truth: anger
us your parent should get you help not enabl you &amp you shouldn't drink when pregnant it can kil th baby horid || Ground truth: anger
