user user cmbyn doe screen august &amp at miff || Ground truth: sadness
user user american do not spank their children and they ar a god fear peopl who know th biggest sin i hypocrisy || Ground truth: optimism
favorit character who' nam start with th letter m prisonbreak th greysanatomy || Ground truth: joy
user no racism no hatr no sectarianism on ye to lov || Ground truth: optimism
but i hav offend so many peopl with th idea that conflict and valu judgment ar separat that w ne to hav a talk || Ground truth: optimism
user huhu kak help m through all of thi || Ground truth: sadness
user i th man || Ground truth: joy
user couldn't hav deliver without you user inspir partnership women || Ground truth: optimism
user i don't know my mouth wa burn th whol tim || Ground truth: sadness
of cours i'v got a horribl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
th patient wer increasing protect dur heart attack chain hav encourag smok anger and hundred of new hospital || Ground truth: joy
they say ur a prdct of ur surrounding a bit intimidat by th crazy amaz ppl i met user user user user || Ground truth: joy
user it' an even for ly around do feck all look lik an october even down her miserabl || Ground truth: sadness
user im sorry i vot jean &lt u look bang who tf need food anyway when ur a student existential dread feed u || Ground truth: joy
user user ye it i i especial lov th rambl chat lov when they go off topic for lik ten minute awesome || Ground truth: joy
user let that sink in || Ground truth: sadness
u can get an oreo shak at burger k || Ground truth: joy
user you mad m laugh today when you told a caller to turn up th volum that you weren't do th marvingay th levity || Ground truth: joy
aj end up be a terribl character but no on in hi fami ever actual speak to him h witnesse so much and just get sent away || Ground truth: sadness
don't justify terrorism a communal hatr amarnathterrorattack i sheer act of cowardic let' unit together against terrorism luv all || Ground truth: optimism
user user no it wa a selfi of him from seven month ago look at th top left of th snap peopl || Ground truth: joy
part of danielhiv insecur i got you || Ground truth: sadness
user user oh that too 🤣 || Ground truth: joy
code lyft code w got em us oath great deal ar her for you now loveislov || Ground truth: joy
amarnathterrorattack user user cn u plz an wt u r afrd of or wt stpng u to end terrorism wn whol india i stndng wth u || Ground truth: sadness
usual th thing you ar most afraid of ar th most worthwhil fact teamfollowback rocktheretweet || Ground truth: optimism
fill with sophisticat glum || Ground truth: sadness
but damn th sight of them gett scar af make m feeel sooo bad which they should feel afraid caus if their mom don't com n it them || Ground truth: sadness
my main concern ar th children and hi wif that if sh i still stuck with him and if sh i then she' strong af jeez 😟 || Ground truth: sadness
user been ther don that || Ground truth: joy
i final got my driver permit ye readytodriv nervou scar || Ground truth: joy
hold a grudg i lik allow someon to liv rent fre in your head wednesdaywisdom motivationalquote || Ground truth: optimism
look up som phon price onlin and it just sadden m even mor 😧 || Ground truth: sadness
user us th f word a much a you ne to peopl may start to listen || Ground truth: optimism
user it us to scar m too but it' better thi way || Ground truth: optimism
another blow for student a th su hav shunn wildcat for fear they will offend dr dr || Ground truth: sadness
ly at th pool with john ic cream drink degree and listen to bust ✌ 🏼 ️ blis || Ground truth: joy
quot of th day come from queen cersei herself user power hungry peopl ar fearful otherwis why wouldn't you just chill 👏 || Ground truth: optimism
daniel kill her ex doee 🍫 🍫 🍫 😛 insecur || Ground truth: sadness
th number of ppl who took it th wrong way i not that alarm but srs why do u think lyt dat man oy 😊 || Ground truth: joy
user user user i confes i didn't watch last week bad ar you go to do an episod on accessibility || Ground truth: sadness
user w ne mor mutual trust to increas security &amp fight terrorism &amp radicalization in europ osc aut diplomacy || Ground truth: optimism
you won't reach a goal you hid in a drawer keep it in front of your fac at all time wednesdaywisdom || Ground truth: optimism
attention seeker chri uhlmann high arous over th attention h drew to himself now enjoy som fist of fury tim user user || Ground truth: joy
new lyft user us cod to get credit invite hey coupon clipper cheery lyftnow || Ground truth: joy
﻿ mummy cam hom and order pizza even though there' food in th fridg i ain't fight th hypocrisy thi tim jalepeno pin chicken || Ground truth: joy
user don jr lawyer up with th wrong folk h aint so bright || Ground truth: sadness
what can you say about user awestruck || Ground truth: joy
no offens to thos who lov k cultur u can lov it all you want bb 💖 but i just personal want to get to know my own country' || Ground truth: optimism
straples wedd dresse look awful on most peopl juliann hough look great 👌 🏼 || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yas || Ground truth: joy
user h know wonwoo can't hold any longer when hi finger trembl uncontrollab so sol give hi mask for wonwoo and || Ground truth: sadness
user tuesdaythought horror damn it' tough to chos but i will go to camp crystal lak but not a counselor 😁 || Ground truth: joy
try not to b annoy but i keep gett told i'm on list for thing and then everyone' on th list except for m 😞 || Ground truth: sadness
if peopl tweet about loveisland we'r a passionat about other topic th world would b a much better plac dull || Ground truth: sadness
user i'm sorry for any disappointment aaron it could b worth ask to mov seat if you aren't happy to sit by th exit ^bm || Ground truth: sadness
damn i just walk up to th train station and i literal di || Ground truth: sadness
each of y separat fallen if w quicken hi wrath upon u will on caus our pain to b mor unbearabl in that pit || Ground truth: sadness
user mad your chicken tikka masala w cauliflower &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
it' in th morn and i'm dry as up 😂 || Ground truth: sadness
hey user what happen to th strawberry and black current one 🙁 || Ground truth: sadness
