@user @user cmbyn does screen august 4 &amp 6 at miff || Ground truth: sadness
yukwon no video do zico the world is shaking || Ground truth: sadness
@user rumor has you are wellendowed awesome truth is you are a big 😲 notsomuch so you know a bunch of gaypeople sowhat || Ground truth: anger
@user improve on the makeup dear to avoid reduction in viewership || Ground truth: sadness
this person hasn't uploaded episode six or seven of the lodge and i'm || Ground truth: anger
@user @user if i catch you making tea with water boiled up to 100 degrees there will be dire consequences || Ground truth: anger
@user you look shook afraid shook impeach youaregoingdown || Ground truth: anger
@user c grew with resentment for herself and the world around her her spine tingled as she heard the incessant clicking of a c || Ground truth: anger
cold sores are the worst the second you smile or laugh it's over blood everywhere || Ground truth: sadness
@user shocked as well but bc i cheer for another club in the swiss league… || Ground truth: optimism
come on blues stateoforigin origin nswblues nsw || Ground truth: optimism
watching scottishopenherochallenge from last night smoke flames tense sound effects and lively commentary boring dull shite 🙈 || Ground truth: anger
@user bro no you don't you'll be so dissapointed in me 😂 il let you read it next time you're down here tho 💁 || Ground truth: sadness
feeling like a grim reaper all day hehehe 9 days pa 🎩 ✉ ️ || Ground truth: sadness
i'm sorry im much more interested in the bachelorinparadise rose ceremony than whatever @user has seriously || Ground truth: sadness
@user @user it is indeed time 4 you 2 create the ghost filter 👻 please 🙏 🏾 canwegetaghostfilter snapchat ghostfilter retweet || Ground truth: optimism
@user awe feels or que || Ground truth: sadness
johnny doesn't seem like the suicidal type suspicion tcmparty || Ground truth: sadness
filled with sophisticated glum || Ground truth: sadness
from the archives strikeforce champ ronda rousey 301 chirp church mayhemmiller naked rip rondarousey twitter || Ground truth: sadness
morning swindon is there any chance you can cheer yourself up a bit bleak 😝 || Ground truth: sadness
idk why tiff always have a 6 30 am alarm that rings everyday for || Ground truth: anger
@user sometimes our judiciary just leaves you breathless and speechless || Ground truth: anger
alien newborn - alien resurrection sideshow collectibles - this thing really was an abomination horror aliens figures || Ground truth: anger
good to learning wisdom &lt &lt reform v make in order to improve something &gt &gt || Ground truth: optimism
@user trembled the earth quaked and it became a very great panic [2/2] || Ground truth: sadness
when will i ever be happy with myself || Ground truth: sadness
@user guts 😂 😂 😂 go and sunk your face in sand || Ground truth: anger
if the blues were whiskey i'd stay drunk all the time || Ground truth: sadness
it's 6 30 in the morning and i'm dry ass up 😂 || Ground truth: sadness
who also miss glee gleek glee gleeforever dreamscometrue dontstopbelieving gleecast @user || Ground truth: sadness
@user video n/a 😟 || Ground truth: sadness
i should've stayed in bed || Ground truth: sadness
hating this already 😟 || Ground truth: anger
and clearly all this breathless coverage isn't covering the real collusion story - dnc &amp ukrainecollusion || Ground truth: anger
@user love lights up old tasks will soon going and serious || Ground truth: optimism
amazon's primeday debut in india was disappointing maybe next year it will get better glad it's finally here though 😅 || Ground truth: anger
ato hacking into your phone calls and text messages privacylaws invasion i knew they did it but hearing them get approval || Ground truth: anger
she trapped me but i love her insecure killingme @user || Ground truth: sadness
tuesday night and the wine is coming out just got home from work if that explains it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ irritated || Ground truth: anger
@user @user with all the other stuff going on in houston crime you spend your time bullying the homeless wonderful || Ground truth: anger
after all of the disney animated films are remade in live action will they just reanimate them again || Ground truth: optimism
@user oh for four years these panelists were the lnp cheer squad hypocrites || Ground truth: anger
@user wait i saw this tweet and thought he was joking he was serious 😂 😂 😂 || Ground truth: anger
fucк me on kik guys hhorny18 dick sex womensbodies snapme sexting xxx || Ground truth: anger
45 admits that decisions are harder when you sit in the oval office dumbasastick terrifying || Ground truth: anger
feeling blind new specs please 😰 || Ground truth: sadness
mood kinda bitter bc lee hi didn't appear in jaewon debut mv || Ground truth: anger
@user i said that once and my pals ripped me a new arsehole 😊 || Ground truth: anger
@user ya one time i was like hey daddy queue up with me i can make you wild growth and he was like nice try lulu abuser 😞 || Ground truth: anger
chad and sarah is honestly me and my ex 10 years ago 😂 😂 cbb horrifying || Ground truth: anger
dro and his teeth are still fine tho insecure || Ground truth: optimism
big over sized clothes hours of use for bad haircut 😊 real big rage 🍑 || Ground truth: anger
@user first second on willtnt is music to my ears 😭 ❤️  ️ shaking missedyou || Ground truth: sadness
@user @user yip coz he's a miserable huffy get 😊 || Ground truth: anger
@user humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to add big time loser arsehole 🇬 🇧 || Ground truth: anger
school duties 😧 good night ppl || Ground truth: sadness
@user thing is tho my pout was actually serious || Ground truth: optimism
a little positivity for a dreary tuesday from my little jar of positivity now available in my etsy store selfhelp handmadehour anxiety || Ground truth: optimism
love getting 5 hours of sleep and then getting woken up to horrid allergies oh good morning world allergy wonderful || Ground truth: anger
unfortunately listening to @user @user as good as his show is actually makes me want to emigrate worstgovernmentever || Ground truth: anger
@user then dont disappoint them 😂 || Ground truth: sadness
when you're leaving for work and your husband is still sound asleep in bed 😅 can i just stay home || Ground truth: sadness
@user @user where's the picture 😰 || Ground truth: anger
@user 😂 😂 😂 😂 u mean overprice english clubs real madrid see bayern as no threat then look 😂 || Ground truth: anger
@user ya writes horror so everything today in the world looks normal to this dark individual || Ground truth: anger
@user @user go ahead &amp coon would love to see you get hit by a man i bet you wouldn't find it funny blackhatematters || Ground truth: anger
@user women powerful sentiment chibok is nigeria concern || Ground truth: optimism
one chair is having the munchies are alpacas edible afraid whatthefac salientfac salient2017 || Ground truth: anger
@user bitter we all have bad experiences this was 22 years ago time to let it lie @user forever ❤😍  😍 ❤  || Ground truth: optimism
once you've been hurt you're so scared to get attached again you have a fear that every person is going to break your ❤️  ️ 💯 || Ground truth: sadness
for every dark night 🌑 there's a brighter day 🌞 || Ground truth: optimism
quick annoyingly vague scream into the void aaaaaaaaaagh i'm nervous excited terrified trying not to get my hopes up || Ground truth: anger
don't be light and dark night and day smile and cry ――you and me || Ground truth: optimism
4 years 😭 rest in piece coreymontheith glee || Ground truth: sadness
flatmates provocating pine pollen man || Ground truth: anger
