pressur 😦 || Ground truth: sadness
when you should b work but you'r shopp amazon prim deal instead 😦 || Ground truth: anger
let' start all over again feel lover happi loyalty truth || Ground truth: joy
user user a seriou character flaw nowher clos to user || Ground truth: anger
user user you ar a man after god' heart and i am proud that you ar my president blessedandgrateful awesome || Ground truth: joy
user ballroom danc clas tomorrow any advic for a first timer || Ground truth: joy
chiropractor tim crackl pop chiropractor || Ground truth: joy
john let not your heart b troubl neither let it b afraid peac afraid || Ground truth: joy
user id argu that sakura spac i th best of th franchis and it not on your list dissapoint || Ground truth: sadness
hav you ever spok in tongue don't b afraid || Ground truth: anger
user happy to help if ther i anyth w can do for you pleas don't hesitat to ask thank jame k || Ground truth: joy
dull start || Ground truth: sadness
user user i us to mak th peanut butter energy ball all th tim my famjam lov them recipe yummy || Ground truth: joy
user i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
when you baby ha their first temperatur and all you do i worry firsttimemum firsttimemom newborn baby sickbaby worry || Ground truth: sadness
on sid i th concern &amp fear our teen safety &amp happi thathorriblesuicidegam terrify sosick contd || Ground truth: sadness
i must say th amount of low level fighter and gatekeeper runn their mouth i ridiculou jealousy ufc jonjone || Ground truth: anger
user user i'm dismay at th uk decision to pull out of th eu and i'v urg may to rejoin european leader 😉 || Ground truth: anger
colorfabb ngen worst filament for m good finish but so fragil cc user || Ground truth: anger
befor i fear of not hav you in my lif now i fear of lett you back into my lif fear || Ground truth: sadness
admit that decision ar harder when you sit in th oval offic dumbasastick terrify || Ground truth: anger
user user you real ne better sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
user oh my lord no i just b lett him hit himself caus h throw himself on th floor and throw tantrum 🤦 🏽 ‍♀ ️ || Ground truth: anger
long to se your fac christ jesu i rejoic in th anticipation of your com again || Ground truth: joy
user user bil joel i in hug danger he' so brav inspir || Ground truth: joy
mothafucka wanna adopt th dark but i wa born in it || Ground truth: anger
♪ rac all around th seven sea chas all th girl and mak robberie 'caus panic everywher they go party hardy on titanic ♪ || Ground truth: joy
can't sleep mayb worry or mayb i ne to chang my pillow mayb 😏 || Ground truth: sadness
majka didn't start || Ground truth: sadness
amarnathterrorattack sadden to hear thi ne to tak strict action against terrorism || Ground truth: sadness
nobetterfeelingthan teeter right on th edg joy pleasur happi blis anticipation || Ground truth: joy
user wish you well sir you ar an extreme straightforward and jovial person || Ground truth: joy
user sorry to burst your bubbl but opposition research i part of every political campaign doesn't matter wher it come from || Ground truth: sadness
discourag || Ground truth: sadness
user user delusional disgraceful democrat enough said || Ground truth: anger
shaft abrasion from pantie mere shift to th sid theoldsideshift annoyanc humansoflatecapitalism || Ground truth: anger
