us shock los of talent young man prayer pray for hi fami || Ground truth: sadness
us us american do not spank their children and they ar a god fear peopl who know th bigest sin i hypocrisy || Ground truth: optimism
us i it just m that think it lok bor || Ground truth: sadness
us no racism no hatr no sectarianism on y to lov || Ground truth: optimism
but i hav ofend so many peopl with th idea that conflict and valu judgment ar separat that w ne to hav a talk || Ground truth: optimism
us huhu kak help m through al of thi || Ground truth: sadness
us i th man || Ground truth: joy
us improv on th makeup dear to avoid reduc in viewership || Ground truth: sadness
us couldn't hav deliver without you us inspir partnership women || Ground truth: optimism
us i don't know my mouth wa burn th whol tim || Ground truth: sadness
of cours i'v got a horibl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
i fel so intimidat talk to chicken now that i know how prety sh i || Ground truth: joy
us ar w in for lemar even though weng wa very coy about him in hi pres conferenc || Ground truth: joy
they say ur a prdct of ur surounding a bit intimidat by th crazy amaz pl i met us us us us || Ground truth: joy
us it' an even for ly around do feck al lok lik an octob even down her miserabl || Ground truth: sadness
us i know 😰 || Ground truth: sadness
us im sory i vot jean &lt u lok bang who tf ned fod anyway when ur a student existential dread fed u || Ground truth: joy
us let that sink in || Ground truth: sadness
us us us watch th totalsolareclips on ur chanel right now amaz what' hapen in th usa || Ground truth: joy
us you mad m laugh today when you told a cal to turn up th volum that you weren't do th marvingay th levity || Ground truth: joy
aj end up be a teribl charact but no on in hi fami ev actual speak to him h witnes so much and just get sent away || Ground truth: sadness
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
don't justify terorism a comunal hatr amarnathteroratack i she act of cowardic let' unit togeth against terorism luv al || Ground truth: optimism
us us no it wa a selfi of him from seven month ago lok at th top left of th snap peopl || Ground truth: joy
part of danielhiv insecur i got you || Ground truth: sadness
us us oh that to 🤣 || Ground truth: joy
amarnathteroratack us us cn u plz an wt u r afrd of or wt stpng u to end terorism wn whol india i stndng wth u || Ground truth: sadness
usual th thing you ar most afraid of ar th most worthwhil fact teamfolowback rocktheretwet || Ground truth: optimism
us aw fel or qu || Ground truth: sadness
johny doesn't sem lik th suicidal typ suspicion tcmparty || Ground truth: sadness
wow that last chick wa a bit intens por fredi wa a bit unerv lol ninjawariorau || Ground truth: joy
