us us cmbyn do scren august &amp at mif || Ground truth: sadness
yukwon no video do zico th world i shak || Ground truth: sadness
omg we'r eat drink in a restaurant and so i a baby quel horor yumymumiesau || Ground truth: anger
request mri year ago neuro on request last year i'm stil wait on apoint msuck healthcarefail || Ground truth: anger
us us a seriou charact flaw nowher clos to us || Ground truth: anger
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
cold sor ar th worst th second you smil or laugh it' ov blod everywher || Ground truth: sadness
us shock a wel but bc i che for anoth club in th swis league… || Ground truth: optimism
whatev you want to do if you want to b great at it you hav to lov it and b abl to mak sacrific for it quot for you || Ground truth: optimism
thi weath = my mod ☔ miserabl || Ground truth: sadness
fuckfuckfuck my hand ar shak || Ground truth: anger
com on blu stateoforigin origin nswblu nsw || Ground truth: optimism
us at least smil a litl ho crap twigy || Ground truth: anger
so if you hav a real tiny peni get help but pleas don't try to compensat on th road bigcar tinypeni roadrag || Ground truth: anger
us us it i inde tim you creat th ghost filt 👻 pleas 🙏 🏾 canwegetaghostfilt snapchat ghostfilt retwet || Ground truth: optimism
fil with sophisticat glum || Ground truth: sadness
or just blam th glomy weath || Ground truth: sadness
us aft you said an apl pi isn't naughty i real want chri or us to say but a cream pi i naughymind rag || Ground truth: anger
from th archiv strikeforc champ ronda rousey chirp church mayhemil nak rip rondarousey twit || Ground truth: sadness
us us it ruin my frig night each night at pm mr lov it i'v ben ear to b for a month || Ground truth: anger
morn swindon i ther any chanc you can che yourself up a bit bleak 😝 || Ground truth: sadness
us sometim our judiciary just leav you breathles and spechles || Ground truth: anger
god to learn wisdom &lt &lt reform v mak in ord to improv someth &gt &gt || Ground truth: optimism
hav a day snap streak end i heartbreak || Ground truth: sadness
us h know wonwo can't hold any long when hi finger trembl uncontrolab so sol giv hi mask for wonwo and || Ground truth: sadness
when wil i ev b hapy with myself || Ground truth: sadness
us i'm sory for any disapoint aron it could b worth ask to mov seat if you aren't hapy to sit by th exit ^bm || Ground truth: sadness
us gut 😂 😂 😂 go and sunk your fac in sand || Ground truth: anger
who also mis gle glek gle gleforev dreamscometru dontstopbeliev glecast us || Ground truth: sadness
merkel ha suport al israeli teror initiativ opos th palestinian bid for membership at th un || Ground truth: sadness
i had som weird dream last night first about dog whos head explod and roach com out second dark cloud and fly into spac || Ground truth: sadness
i should'v stay in b || Ground truth: sadness
and clear al thi breathles coverag isn't cover th real colusion story dnc &amp ukrainecolusion || Ground truth: anger
amazon' primeday debut in india wa disapoint mayb next year it wil get bet glad it' final her though 😅 || Ground truth: anger
ato hack into your phon cal and text mesag privacylaw invasion i knew they did it but hear them get aproval || Ground truth: anger
sh trap m but i lov h insecur kilingm us || Ground truth: sadness
us it real i and it wa a normal th a few year ago but it should'v stay in th past by now || Ground truth: sadness
post vaca blu ar so real 😔 || Ground truth: sadness
tuesday night and th win i com out just got hom from work if that explain it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ iritat || Ground truth: anger
