th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
slep i and wil alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
us spel exact how it mak you fel bet eat land lin talk to my mom thi wek ha ben imposibl godservic rag || Ground truth: anger
ik to pmln darl i wil haunt you in your nightmar dres lik a dream best th ev gameovernawaz || Ground truth: joy
overheard i don't real lik dog i don't fel saf in thi plac clear a hostil environ big covfef trustnon || Ground truth: anger
a woman i sterilis becaus sh i certain that sh doesn't want children what exact i ther to discus 😠 losewomen || Ground truth: anger
mima tremendou at bring th nois || Ground truth: joy
us us you ar a man aft god' heart and i am proud that you ar my president blesedandgrate awesome || Ground truth: joy
remain atach to god dur your hapi and dur your sad || Ground truth: optimism
th patient wer increasing protect dur heart atack chain hav encourag smok ang and hundred of new hospital || Ground truth: joy
us you lok shok afraid shok impeach youaregoingdown || Ground truth: anger
you know your numerou med hav kick in when you find stupid thing high amus bpdproblem keptalkingmh mentalhealth || Ground truth: joy
thi nightmar i near ov gang gang gang || Ground truth: optimism
watch scotishopenherochaleng from last night smok flam tens sound efect and live comentary bor dul shit 🙈 || Ground truth: anger
faint glimps of th circl star present a i went on stil gain velocity th palpita of night and day merg into on || Ground truth: joy
slep i my drug my b i my deal my alarm i th cop schol i th jail teamfolowback || Ground truth: joy
h i hold h so clos wrap hi hand around h should sh i hold them and they'r both smil i'm stil liv ☺ ️ || Ground truth: joy
cod lyft cod w got em us oath great deal ar her for you now loveislov || Ground truth: joy
us i colour my hair bright r and had a dodgy fring dread nophoto thankgod beterblond || Ground truth: joy
robert cal m to mak sur i wa awak for my night clas || Ground truth: joy
i final got my driver permit y readytodriv nervou scar || Ground truth: joy
us i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
hav you ev spok in tongu don't b afraid || Ground truth: anger
i wa so scar i thought i lost anoth daught tonight grate otm ❤ || Ground truth: joy
us on of th twin wa slep next to m i tri to cov my laught but i shok so hard sh wok up || Ground truth: joy
dirty den return burst forth from hi grav to deliv a horibl vengeanc || Ground truth: anger
ov hour train and station on to b back wher i start nightmar || Ground truth: anger
don't b discourag || Ground truth: optimism
yik got my first job interview next wek haven't had on in year || Ground truth: joy
day tom 😱 || Ground truth: joy
alien newborn alien resurec sideshow colectibl thi th real wa an abomina horor alien figur || Ground truth: anger
h i very play and can hard stay in on spot || Ground truth: joy
us us ugh not thos vil men again 😱 || Ground truth: anger
us u mak my heart flut || Ground truth: joy
hey us you'r go to go to jail on day || Ground truth: anger
to many of u ar not liv our dream becaus w ar liv our fear || Ground truth: optimism
okay thi girl on ten mom i scream but sh on cm dilat 😭 when i wa cm i wa just pis bc sh wouldn't giv m wat || Ground truth: anger
us hey shilang 🙁 || Ground truth: joy
us i rememb when ron reagan said tear down that wal trump i so afraid of other h obvious doesn't fel saf || Ground truth: anger
real wana dy m hair a bright colour but iv spent al thi tim grow th dy out || Ground truth: optimism
today al india bank strik wth wa thi anounc what' thi strik for || Ground truth: anger
important read on th diferenc betwen pleasur and hapi and th relationship betwen digitaltechnology adic &amp depresion || Ground truth: joy
us mis gal i'd real real apreciat a folow back i'm on of your bigest fan || Ground truth: joy
sem lik th on tim spent sob thes past few day wa when i wa slep and even then i wa wak up fad lol || Ground truth: joy
us us if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
kokobop i such a weird nam but i rememb that it i said to b mor lit that growl and it i exo so i'm acept th nam || Ground truth: optimism
